x1,x2,y
-0.056143377,-0.03816281,0.0
0.92977583,0.08743791,0.0
0.041480284,0.013328014,0.0
-0.1116242,-0.02525782,0.0
0.10960208,0.04124634,0.0
0.96387804,1.13065,1.0
0.046497036,0.13803682,0.0
0.14846861,0.029756837,0.0
0.86914444,0.92961276,1.0
0.8523214,1.1067475,1.0
0.01085329,-0.10005628,0.0
0.8740955,0.934493,1.0
-0.1297273,0.11944914,0.0
0.09682597,1.0267968,0.0
0.018565811,-0.1019671,0.0
-0.041984987,1.128353,0.0
1.0261481,1.1087049,1.0
0.12146488,0.13458374,0.0
-0.100466475,0.8724451,0.0
0.088981144,1.1375405,0.0
1.0012027,0.9389446,1.0
0.07645286,0.9633972,0.0
-0.02060188,0.1391892,0.0
-0.055146888,-0.0551954,0.0
-0.096125215,0.9938519,0.0
1.131802,1.0716395,1.0
-0.01219266,1.1061516,0.0
0.08571444,1.0779246,0.0
-0.029593106,1.0824633,0.0
-0.041261297,1.1303773,0.0
-0.106496766,0.12133512,0.0
1.0973029,0.07513353,0.0
0.93449646,0.114457875,0.0
0.12941875,0.90281653,0.0
0.018753756,0.9547944,0.0
0.9067662,1.0322771,1.0
0.07423785,0.057152335,0.0
-0.031543564,1.1217157,0.0
1.0674043,0.07198085,0.0
0.8904864,0.8932033,1.0
0.129537,0.9674522,0.0
1.0242324,0.9101529,1.0
-0.1298908,1.1023264,0.0
0.04679965,-0.05577517,0.0
0.124500245,1.0804079,0.0
-0.037469357,0.06426714,0.0
-0.018540336,1.0757748,0.0
-0.07232207,1.0572147,0.0
0.94232035,1.1366483,1.0
-0.11280344,-0.04852197,0.0
0.05999017,1.005144,0.0
0.91818464,1.0253128,1.0
-0.015813377,0.041286387,0.0
0.07506676,0.07678701,0.0
0.85983896,0.1477667,0.0
1.007761,0.1038694,0.0
0.12189943,-0.04659378,0.0
0.100743815,1.0983641,0.0
0.015308579,0.9456306,0.0
1.0170555,0.041382585,0.0
1.101517,-0.034408916,0.0
-0.12919618,1.1011415,0.0
-0.014481145,0.10695732,0.0
-0.13946843,0.12591848,0.0
-0.10458207,0.9815439,0.0
1.0841457,0.97797227,1.0
0.96737856,1.0416256,1.0
1.1389863,-0.14618361,0.0
0.98741883,0.8777635,1.0
0.0413088,-0.0111487955,0.0
-0.14739926,-0.11874864,0.0
-0.11295861,0.8837378,0.0
0.93891287,0.025016876,0.0
-0.03115521,0.9712509,0.0
0.13737033,1.1295305,0.0
1.0676987,0.047114585,0.0
0.059110675,0.9228039,0.0
0.008728958,0.9778393,0.0
1.1244112,0.08121136,0.0
1.080313,-0.12700476,0.0
-0.07917264,-0.009294689,0.0
0.0632626,0.9497875,0.0
-0.08972951,-0.07206928,0.0
1.0264503,0.075349726,0.0
0.054322872,-0.0845758,0.0
1.1413238,-0.03903943,0.0
0.06909937,0.11563228,0.0
0.85169137,1.119729,1.0
0.88128567,0.0947533,0.0
0.90189606,0.9966428,1.0
1.1033723,1.0996946,1.0
1.0412184,1.0033798,1.0
1.1252383,0.9623325,1.0
0.14190447,0.06001772,0.0
0.9102875,0.8838021,1.0
0.89092535,0.8784509,1.0
0.9056391,0.9888521,1.0
-0.033261783,0.85326314,0.0
0.9974646,-0.026726834,0.0
0.9034433,0.9930756,1.0
0.92902553,0.87450016,1.0
0.89458257,0.88859975,1.0
0.058008194,0.9393605,0.0
-0.056750108,0.9927806,0.0
0.13871948,0.102417715,0.0
-0.13812253,0.1052911,0.0
-0.07674127,0.11841975,0.0
1.0485339,-0.14914602,0.0
-0.07513285,-0.049481794,0.0
0.011695528,0.109873965,0.0
0.8821784,1.1343437,1.0
1.134103,0.024412543,0.0
0.02257508,0.9898231,0.0
1.0997484,0.85332954,1.0
1.0305184,-0.09497553,0.0
0.9007982,0.06284856,0.0
1.1006006,-0.083936855,0.0
0.13974844,1.0699481,0.0
-0.018533109,1.0094154,0.0
1.0258496,0.090703055,0.0
0.12524627,0.980439,0.0
0.92409897,0.100762606,0.0
1.1175507,0.024861615,0.0
-0.07409607,1.0510798,0.0
-0.07582462,0.034242246,0.0
1.1159906,-0.13880727,0.0
0.9948401,0.9378197,1.0
-0.07577036,1.077793,0.0
-0.024705289,1.1201657,0.0
1.0703479,-0.07989376,0.0
1.1430652,0.9307619,1.0
1.0103916,0.14005241,0.0
0.8696533,-0.054540455,0.0
-0.018477349,0.05107791,0.0
1.1192961,0.14542823,0.0
-0.14937682,0.98608524,0.0
0.14634155,0.9244518,0.0
0.14633213,0.85276777,0.0
1.0823243,-0.14211574,0.0
0.93256885,0.9990028,1.0
0.87096363,0.13785703,0.0
0.12054928,0.85006976,0.0
1.0185928,1.0668867,1.0
-0.1471598,-0.101098865,0.0
0.8938052,0.07690446,0.0
0.0699289,0.011405373,0.0
-0.12217013,0.98400444,0.0
-0.11041225,1.0226756,0.0
0.968478,-0.12848222,0.0
1.0025501,1.0049927,1.0
-0.06342118,-0.052395377,0.0
1.0818099,0.97183585,1.0
0.9555315,1.0685141,1.0
0.047386065,1.0637037,0.0
0.8805072,0.9217557,1.0
-0.06086536,0.07293369,0.0
0.85587066,0.101220585,0.0
-0.14685728,1.1056974,0.0
0.9127868,-0.018411685,0.0
1.1212453,0.927192,1.0
0.110086404,0.05832115,0.0
1.0673652,0.12990586,0.0
0.104544744,0.8510188,0.0
0.9725302,0.9326549,1.0
-0.06808184,0.9072016,0.0
